사아, 53, 187
타하, 72, 187
사다, 46, 195
자자, 63, 154
파파, 77, 192
바아, 82, 156
라나, 79, 196
라가, 98, 172
차자, 49, 184
차차, 52, 148
가바, 63, 167
나바, 76, 166
자하, 87, 177
사다, 84, 145
차나, 57, 179
카타, 68, 197
마타, 59, 151
타가, 71, 152
차사, 55, 170
가바, 47, 190
가나, 43, 177
마나, 42, 148
라자, 90, 171
차파, 52, 178
파파, 61, 190
나카, 45, 156
차라, 86, 178
차다, 75, 162
타라, 62, 183
파자, 85, 142
아다, 47, 165
파사, 63, 162
바차, 66, 177
카아, 54, 185
나차, 66, 192
카차, 70, 141
사마, 80, 161
하사, 40, 155
차타, 87, 154
하라, 71, 170
다가, 75, 151
다다, 73, 145
차자, 53, 140
타마, 66, 177
차사, 94, 154
카타, 77, 181
바나, 90, 197
타타, 81, 183
사카, 74, 179
라가, 78, 166
카마, 57, 142
타나, 55, 151
카마, 55, 144
나바, 63, 185
마차, 62, 199
카타, 47, 158
가라, 79, 145
나아, 92, 191
타가, 42, 141
카다, 43, 157
타카, 50, 188
차차, 90, 171
하파, 87, 142
사파, 90, 189
아가, 86, 186
사차, 48, 151
바카, 96, 177
카하, 65, 198
카나, 57, 162
타다, 86, 192
차바, 62, 153
바다, 56, 158
카아, 45, 148
하가, 47, 164
차마, 79, 178
라가, 46, 177
자사, 74, 178
차마, 58, 148
타하, 68, 199
다라, 52, 193
다사, 55, 148
아카, 53, 144
아사, 78, 179
자나, 93, 153
사나, 53, 185
자파, 69, 172
하가, 99, 198
차가, 61, 181
가타, 88, 194
나가, 81, 182
카타, 84, 145
카아, 88, 159
사하, 77, 144
라타, 45, 171
다가, 54, 182
자나, 45, 176
하사, 74, 185
가가, 41, 165
자아, 83, 161
바가, 68, 199
가자, 75, 157
나파, 65, 155
아카, 79, 165
마차, 77, 179
라카, 40, 180
하라, 72, 196
자마, 94, 187
사자, 65, 153
하자, 47, 178
파차, 82, 179
마사, 66, 163
자가, 84, 146
카라, 77, 170
아가, 78, 178
다카, 69, 173
하다, 52, 145
자하, 50, 170
사자, 81, 171
다하, 65, 185
차라, 59, 161
라자, 82, 142
바나, 99, 192
자나, 74, 150
아카, 55, 167
아마, 61, 159
바아, 49, 181
아자, 78, 149
아라, 76, 168
마파, 77, 146
나가, 79, 159
카나, 92, 178
차다, 63, 171
파가, 52, 193
카아, 61, 156
사가, 60, 174
카나, 61, 148
파파, 57, 178
타타, 76, 180
나마, 59, 161
바사, 99, 142
마사, 55, 146
자타, 45, 168
나가, 55, 152
아하, 89, 152
나가, 95, 183
차사, 40, 184
하나, 47, 170
마마, 56, 176
파바, 70, 165
아라, 62, 147
파마, 94, 158
사파, 67, 165
바하, 41, 181
파카, 51, 152
마타, 55, 196
다타, 78, 190
자타, 78, 198
파하, 63, 145
라라, 90, 153
다나, 51, 164
마하, 56, 149
바라, 63, 180
바나, 74, 190
다하, 92, 162
마차, 78, 180
마라, 87, 157
바타, 54, 192
하타, 50, 173
나바, 89, 141
아사, 62, 179
카마, 95, 171
카카, 40, 184
카라, 60, 155
나하, 70, 185
자다, 83, 175
자가, 53, 195
마타, 46, 181
파카, 88, 179
